uuid,adm4_pcode,date,freq,rwi_max,rwi_mean,rwi_median,rwi_min,rwi_std
TMRWI000002,PH063022043,2016-01-01,Y,0.6234778539717355,0.6053050170781894,0.6115207691422859,0.5809164281205468,0.0219509777211243
TMRWI000006,PH063022042,2016-01-01,Y,0.5615534863553908,0.5416258239515361,0.5382652511919584,0.5300657364621632,0.0125501548427898
TMRWI000008,PH063022041,2016-01-01,Y,0.6870714595210594,0.6459993967055387,0.6487724306988956,0.5720290620872069,0.0347430728759076
TMRWI00000C,PH063022040,2016-01-01,Y,0.5933144298794608,0.5646537163298675,0.5644983244057271,0.5363037866285552,0.0280225904684574
TMRWI00000E,PH063022038,2016-01-01,Y,0.647317162729692,0.6210716163732538,0.6175652597236481,0.6018387833160274,0.0209323479611543
TMRWI000010,PH063022044,2016-01-01,Y,0.5720290620872069,0.5587073248126209,0.5587073248126209,0.5453855875380349,0.0188397815280907
TMRWI000014,PH063022050,2016-01-01,Y,0.6357588856772284,0.6062616224540212,0.6028382714327185,0.5836110612734193,0.0230071165783443
TMRWI000016,PH063022049,2016-01-01,Y,0.6522318308116156,0.6169129389652674,0.6357588856772284,0.5550262452962287,0.0354239263109826
TMRWI00001A,PH063022048,2016-01-01,Y,0.6602569427801585,0.6254461965253949,0.6408336416838467,0.5728557780547505,0.0340448652247419
TMRWI00001C,PH063022047,2016-01-01,Y,0.668074870725647,0.6218275989284717,0.639008008355698,0.5687292521602426,0.0398335492241129
TMRWI000020,PH063022046,2016-01-01,Y,0.6355128853661861,0.6004575102240144,0.6004575102240144,0.5654021350818428,0.0495757869601357
TMRWI000022,PH063022045,2016-01-01,Y,0.5363037866285552,0.5363037866285552,0.5363037866285552,0.5363037866285552,
TMRWI000025,PH063022036,2016-01-01,Y,0.6606773101073585,0.6532457971553909,0.659521261917278,0.6332633546796492,0.0133436016433397
TMRWI000029,PH063022028,2016-01-01,Y,0.5363037866285552,0.5363037866285552,0.5363037866285552,0.5363037866285552,
TMRWI00002B,PH063022026,2016-01-01,Y,0.7065617031074352,0.5902041904213308,0.5837315412031439,0.5308327768888934,0.0579854389601863
TMRWI00002F,PH063022025,2016-01-01,Y,0.602151943130533,0.5828969051745664,0.5903405954617755,0.5363037866285552,0.0235207941518784
TMRWI000031,PH063022024,2016-01-01,Y,0.6373707276404701,0.6005148336068554,0.6199884639587685,0.5277928247375508,0.0409006931570676
TMRWI000035,PH063022023,2016-01-01,Y,0.6533037580199502,0.624854023534289,0.6281602363915367,0.5897918633341322,0.0279065608165665
TMRWI000037,PH063022029,2016-01-01,Y,0.6649737863339221,0.6506096088493307,0.648998622312501,0.6394674044383983,0.0107508095922801
TMRWI000039,PH063022030,2016-01-01,Y,0.6848234664805618,0.6229486780293871,0.6272078294384285,0.5530240400866631,0.0400282603600224
TMRWI00003A,PH063022035,2016-01-01,Y,0.6557195010664357,0.6402324408866288,0.640866204254172,0.6234778539717355,0.0131924224638948
TMRWI00003E,PH063022034,2016-01-01,Y,0.5363037866285552,0.5363037866285552,0.5363037866285552,0.5363037866285552,
TMRWI000040,PH063022033,2016-01-01,Y,0.6316912165836671,0.5731007894984391,0.5752461961273372,0.5277928247375508,0.0406968750062069
TMRWI000044,PH063022032,2016-01-01,Y,0.6606773101073585,0.6440366918748185,0.6459963585756932,0.609902596725331,0.0178706450310477
TMRWI000046,PH063022031,2016-01-01,Y,0.6602569427801585,0.6245450414122045,0.6297433578292608,0.5728557780547505,0.0317262628213526
