uuid,adm4_pcode,date,freq,pop_count_total,pop_count_mean,pop_count_median,pop_count_stdev,pop_count_min,pop_count_max,pop_density_mean,pop_density_median,pop_density_stdev,pop_density_min,pop_density_max
WDPOP000001,PH063022152,2000-01-01,Y,1492.030517578125,14.346447284405048,14.088116645812988,9.94108302437323,1.157728910446167,39.57788848876953,1747.8759765625,1747.8759765625,0.0,1747.8759765625,1747.8759765625
WDPOP000002,PH063022015,2000-01-01,Y,688.0926513671875,45.87284342447917,46.66027069091797,6.994908803103142,30.479766845703125,55.3046875,,,,,
WDPOP000003,PH063022118,2000-01-01,Y,1734.7445068359375,133.44188514122595,18.75897979736328,247.44974659121783,11.15103816986084,968.6879272460938,,,,,
WDPOP000018,PH063022040,2000-01-01,Y,1891.350830078125,61.01131709929435,60.11934280395508,28.049732774547497,17.409624099731445,128.8193817138672,,,,,
WDPOP000019,PH063022020,2000-01-01,Y,2018.401123046875,288.343017578125,268.5308837890625,124.519965407277,130.09771728515625,472.0240478515625,,,,,
WDPOP00001A,PH063022109,2000-01-01,Y,729.244140625,42.89671415441177,40.67373275756836,10.910959886092131,27.79323387145996,59.03680419921875,,,,,
WDPOP00001B,PH063022110,2000-01-01,Y,9144.0810546875,304.8027018229167,282.2122497558594,217.9064052696369,11.40604305267334,805.0446166992188,,,,,
WDPOP00001C,PH063022123,2000-01-01,Y,575.82958984375,143.9573974609375,162.98025512695312,46.60339111463635,65.92662048339844,183.9424743652344,,,,,
WDPOP00001D,PH063022077,2000-01-01,Y,2884.7939453125,131.12699751420453,113.43202209472656,78.61362129267148,31.71931266784668,274.2294616699219,,,,,
WDPOP00001E,PH063022099,2000-01-01,Y,2259.4453125,86.90174278846153,73.35084533691406,45.83875731231967,35.579532623291016,259.4926147460937,13098.01171875,13098.01171875,0.0,13098.01171875,13098.01171875
WDPOP00001F,PH063022183,2000-01-01,Y,6286.75439453125,44.586910599512414,23.328453063964844,50.1111753498302,3.0122015476226807,299.0726623535156,4684.54541015625,4684.54541015625,689.8638916015733,3994.681396484375,5374.4091796875
WDPOP000020,PH063022114,2000-01-01,Y,3245.47216796875,47.03582852128624,42.53696441650391,29.389984005015485,10.291977882385254,132.21388244628906,3575.21435546875,3575.21435546875,0.0,3575.21435546875,3575.21435546875
WDPOP000021,PH063022197,2000-01-01,Y,874.2565307617188,291.4188435872396,286.7640991210937,36.53756122190361,249.1789703369141,338.3134765625,,,,,
WDPOP000022,PH063022158,2000-01-01,Y,1975.4068603515625,79.0162744140625,90.3563461303711,26.17094198362889,42.24626159667969,143.59640502929688,,,,,
WDPOP000023,PH063022164,2000-01-01,Y,2348.36083984375,55.913353329613095,53.46284103393555,21.37630924460487,25.520526885986328,102.36687469482422,,,,,
WDPOP000024,PH063022095,2000-01-01,Y,2524.79931640625,168.31995442708333,199.1832275390625,70.27699569982477,42.54552459716797,268.9335632324219,,,,,
WDPOP000025,PH063022144,2000-01-01,Y,2411.16015625,15.967948054635762,12.893271446228027,15.811259516597897,1.159047245979309,66.80728912353516,1720.071533203125,1720.071533203125,0.0,1720.071533203125,1720.071533203125
WDPOP000026,PH063022194,2000-01-01,Y,3894.40576171875,68.32290810032895,61.5246696472168,36.45486067942834,13.863614082336426,135.3302764892578,,,,,
WDPOP000028,PH063022029,2000-01-01,Y,2036.986328125,67.89954427083333,40.40306091308594,57.99695278310865,24.18675994873047,236.564453125,,,,,
WDPOP000029,PH063022134,2000-01-01,Y,1801.93505859375,85.80643136160714,84.59457397460938,36.57400797350894,32.22113800048828,151.2692413330078,7813.083984375,7813.083984375,0.0,7813.083984375,7813.083984375
WDPOP00002A,PH063022160,2000-01-01,Y,4455.330078125,24.21375042459239,17.475875854492188,14.96555909498111,6.310861587524414,101.06319427490234,2588.17724609375,2588.17724609375,478.7711181640781,2109.40625,3066.948486328125
WDPOP00002B,PH063022085,2000-01-01,Y,177.47894287109375,29.57982381184896,27.985435485839844,10.87525009734977,18.08654022216797,47.448238372802734,,,,,
WDPOP00002C,PH063022132,2000-01-01,Y,1920.954833984375,68.60552978515625,62.53544616699219,33.302764374235736,15.864285469055176,137.3668975830078,,,,,
WDPOP00002D,PH063022092,2000-01-01,Y,820.2339477539062,164.04678955078126,65.24825286865234,177.5902576816271,52.845001220703125,515.05859375,,,,,
WDPOP00002E,PH063022054,2000-01-01,Y,879.7586059570312,67.67373891977164,42.89503479003906,34.104174485832594,31.3151798248291,129.26918029785156,,,,,
WDPOP00002F,PH063022179,2000-01-01,Y,3851.85205078125,24.07407531738281,22.924835205078125,13.323295950816512,5.2274041175842285,103.47694396972656,2138.05322265625,2138.05322265625,770.8271484375,1367.22607421875,2908.88037109375
WDPOP000030,PH063022176,2000-01-01,Y,1365.208251953125,37.92245144314237,38.1815185546875,8.223386936356665,20.908313751220703,58.54804611206055,3980.27880859375,3980.27880859375,0.0,3980.27880859375,3980.27880859375
WDPOP000031,PH063022138,2000-01-01,Y,925.1483154296876,308.3827718098958,223.8085021972656,235.6729047061816,71.47830200195312,629.861572265625,,,,,
WDPOP000032,PH063022052,2000-01-01,Y,3221.500732421875,268.4583943684896,298.235595703125,108.2217481245043,140.69821166992188,416.9385986328125,,,,,
WDPOP000033,PH063022149,2000-01-01,Y,1831.9749755859373,70.46057598407452,71.72418975830078,25.939012679809693,28.540246963500977,128.0965118408203,,,,,
WDPOP000034,PH063022035,2000-01-01,Y,1405.892578125,200.841796875,233.53402709960932,43.4712456148468,125.41007232666016,240.37403869628903,,,,,
WDPOP000035,PH063022150,2000-01-01,Y,359.5732116699219,32.68847378817472,27.157793045043945,22.960329294031,14.589441299438477,96.8374252319336,,,,,
WDPOP00006D,PH063022122,2000-01-01,Y,501.8635864257813,45.62396240234375,10.93532657623291,51.57611228617664,5.972769260406494,139.7368621826172,,,,,
WDPOP00006E,PH063022196,2000-01-01,Y,1938.9632568359373,49.71700658553686,46.13639450073242,20.30722708567917,20.67218017578125,111.26898193359376,7152.1630859375,7152.1630859375,0.0,7152.1630859375,7152.1630859375
WDPOP0000A3,PH063022038,2000-01-01,Y,3477.8369140625,128.80877459490742,121.7357177734375,45.15361408274488,72.54608154296875,244.7709808349609,13229.4365234375,13229.4365234375,0.0,13229.4365234375,13229.4365234375
WDPOP0000BB,PH063022182,2000-01-01,Y,719.9632568359375,102.85189383370536,94.36778259277344,26.42007607072019,71.40547943115234,144.41549682617188,,,,,
WDPOP0000BC,PH063022167,2000-01-01,Y,1514.44775390625,63.10198974609375,58.17275238037109,23.818804527651352,25.10262489318848,107.31656646728516,,,,,
WDPOP000114,PH063022178,2000-01-01,Y,3151.35693359375,47.03517811333956,42.4022331237793,22.316784019970253,15.143277168273926,116.30136108398438,5235.12841796875,5235.12841796875,0.0,5235.12841796875,5235.12841796875
WDPOP000115,PH063022081,2000-01-01,Y,219.2592010498047,43.85184020996094,18.726045608520508,41.90750945700361,14.549057006835938,124.52859497070312,,,,,
WDPOP000116,PH063022084,2000-01-01,Y,3126.62353515625,130.2759806315104,137.96786499023438,37.94156052406662,18.250598907470703,184.505111694336,15073.3408203125,15073.3408203125,0.0,15073.3408203125,15073.3408203125
WDPOP00012B,PH063022189,2000-01-01,Y,1130.485595703125,80.74897112165179,86.75125122070312,41.43331146339941,28.789283752441406,141.47242736816406,,,,,
WDPOP00012C,PH063022064,2000-01-01,Y,3073.3759765625,28.99411298643868,21.229923248291016,23.083545328530025,4.968731880187988,83.88424682617188,2734.232177734375,2734.232177734375,0.0,2734.232177734375,2734.232177734375
WDPOP00012D,PH063022033,2000-01-01,Y,1101.8939208984375,15.96947711447011,12.214792251586914,11.571886768696798,4.26530647277832,54.00517272949219,,,,,
WDPOP00012E,PH063022080,2000-01-01,Y,611.4228515625,87.34612165178571,89.33097076416016,8.538030093579916,75.8397216796875,103.19696044921876,12079.9609375,12079.9609375,0.0,12079.9609375,12079.9609375
WDPOP000134,PH063022169,2000-01-01,Y,1402.58056640625,100.184326171875,99.96159362792967,42.262452943864005,39.898536682128906,164.3829345703125,,,,,
WDPOP000135,PH063022069,2000-01-01,Y,1059.0869140625,176.51448567708334,146.85833740234375,75.42793951923925,86.60475158691406,287.0146179199219,,,,,
WDPOP000136,PH063022168,2000-01-01,Y,3425.226318359375,28.3076555236312,25.373123168945312,13.517846626996976,10.781240463256836,83.89717102050781,,,,,
WDPOP000137,PH063022045,2000-01-01,Y,486.3342895507813,162.1114298502604,157.5488739013672,6.49306481677779,157.49148559570312,171.29396057128906,,,,,
WDPOP000138,PH063022188,2000-01-01,Y,3597.4306640625,128.47966657366072,120.72088623046876,37.76367473635559,80.78548431396484,281.7596435546875,,,,,
WDPOP000139,PH063022071,2000-01-01,Y,1706.7122802734375,155.15566184303978,150.68263244628906,34.31256004986561,99.3493194580078,209.4198760986328,,,,,
WDPOP00013B,PH063022115,2000-01-01,Y,2981.525634765625,22.759737669966604,16.2766170501709,17.365386515552576,6.261388778686523,85.64046478271484,2498.22021484375,2498.22021484375,1033.6859130859448,1464.534423828125,3531.90625
WDPOP00013C,PH063022043,2000-01-01,Y,881.0457153320312,125.8636736188616,136.37672424316406,49.69229350490074,28.87703323364257,207.46421813964844,,,,,
WDPOP00013D,PH063022011,2000-01-01,Y,3563.666259765625,15.49420112941576,13.182809829711914,7.957501008401368,7.298501014709473,56.74316787719727,1743.82373046875,1743.82373046875,255.58447265625,1488.2392578125,1999.408203125
WDPOP00013E,PH063022181,2000-01-01,Y,467.8797912597656,58.4849739074707,46.944313049316406,16.788126345146058,45.1375846862793,86.51343536376953,,,,,
WDPOP00013F,PH063022159,2000-01-01,Y,949.1976318359376,118.6497039794922,128.4282684326172,25.77089272742841,52.96139144897461,140.09060668945312,,,,,
