uuid,freq,date,source_name,source_filename,adm3_pcode,disease_icd10_code,disease_common_name,case_total
DPSRT002CD3,W,2011-05-23,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT002CDF,W,2011-05-30,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT002CEB,W,2011-06-06,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT002CF7,W,2011-06-13,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT002D03,W,2011-06-20,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,8
DPSRT002D0F,W,2011-06-27,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT002D1B,W,2011-07-04,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT002D27,W,2011-07-11,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,4
DPSRT002D33,W,2011-07-18,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT002D3F,W,2011-07-25,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT002D4B,W,2011-08-01,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT002D57,W,2011-08-08,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT002D63,W,2011-08-15,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT002D6F,W,2011-08-22,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,4
DPSRT002D7B,W,2011-08-29,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT002D87,W,2011-09-05,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,4
DPSRT002D93,W,2011-09-12,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,5
DPSRT002D9F,W,2011-09-19,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT002DAB,W,2011-09-26,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,4
DPSRT002DB7,W,2011-10-03,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT002DC3,W,2011-10-10,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT002DCF,W,2011-10-17,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT002DDB,W,2011-10-24,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT002DE7,W,2011-10-31,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,5
DPSRT002DF3,W,2011-11-07,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT002DFF,W,2011-11-14,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT002E0B,W,2011-11-21,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT002E17,W,2011-11-28,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,5
DPSRT002E23,W,2011-12-05,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT002E2F,W,2011-12-12,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT002E3B,W,2011-12-19,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT002E47,W,2011-12-26,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,4
DPSRT002E53,W,2012-01-02,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,4
DPSRT002E5F,W,2012-01-09,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT002E6B,W,2012-01-16,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,4
DPSRT002E77,W,2012-01-23,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT002E83,W,2012-01-30,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT002E8F,W,2012-02-06,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT002E9B,W,2012-02-13,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT002EA7,W,2012-02-20,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT002EB3,W,2012-02-27,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT002EBF,W,2012-03-05,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT002ECB,W,2012-03-12,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT002ED7,W,2012-03-19,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT002EE3,W,2012-03-26,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT002EEF,W,2012-04-02,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT002EFB,W,2012-04-09,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT002F07,W,2012-04-16,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT002F13,W,2012-04-23,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT002F1F,W,2012-04-30,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT002F2B,W,2012-05-07,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT002F37,W,2012-05-14,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT002F43,W,2012-05-21,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT002F4F,W,2012-05-28,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT002F5B,W,2012-06-04,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT002F67,W,2012-06-11,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT002F73,W,2012-06-18,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT002F7F,W,2012-06-25,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT002F8B,W,2012-07-02,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT002F97,W,2012-07-09,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT002FA3,W,2012-07-16,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT002FAF,W,2012-07-23,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT002FBB,W,2012-07-30,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT002FC7,W,2012-08-06,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT002FD3,W,2012-08-13,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT002FDF,W,2012-08-20,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT002FEB,W,2012-08-27,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT002FF7,W,2012-09-03,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT003003,W,2012-09-10,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00300F,W,2012-09-17,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00301B,W,2012-09-24,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT003027,W,2012-10-01,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT003033,W,2012-10-08,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00303F,W,2012-10-15,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00304B,W,2012-10-22,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT003057,W,2012-10-29,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT003063,W,2012-11-05,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00306F,W,2012-11-12,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00307B,W,2012-11-19,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT003087,W,2012-11-26,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT003093,W,2012-12-03,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00309F,W,2012-12-10,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0030AB,W,2012-12-17,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT0030B7,W,2012-12-24,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0030C3,W,2013-01-07,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT0030CF,W,2013-01-14,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,4
DPSRT0030DB,W,2013-01-21,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT0030E7,W,2013-01-28,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT0030F3,W,2013-02-04,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT0030FF,W,2013-02-11,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00310B,W,2013-02-18,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT003117,W,2013-02-25,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT003123,W,2013-03-04,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT00312F,W,2013-03-11,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT00313B,W,2013-03-18,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT003147,W,2013-03-25,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT003153,W,2013-04-01,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00315F,W,2013-04-08,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT00316B,W,2013-04-15,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,4
DPSRT003177,W,2013-04-22,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,4
DPSRT003183,W,2013-04-29,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT00318F,W,2013-05-06,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT00319B,W,2013-05-13,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,4
DPSRT0031A7,W,2013-05-20,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,4
DPSRT0031B3,W,2013-05-27,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT0031BF,W,2013-06-03,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0031CB,W,2013-06-10,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,4
DPSRT0031D7,W,2013-06-17,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0031E3,W,2013-06-24,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT0031EF,W,2013-07-01,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT0031FB,W,2013-07-08,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT003207,W,2013-07-15,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT003213,W,2013-07-22,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT00321F,W,2013-07-29,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT00322B,W,2013-08-05,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT003237,W,2013-08-12,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,6
DPSRT003243,W,2013-08-19,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT00324F,W,2013-08-26,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT00325B,W,2013-09-02,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT003267,W,2013-09-09,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT003273,W,2013-09-16,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT00327F,W,2013-09-23,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00328B,W,2013-09-30,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT003297,W,2013-10-07,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT0032A3,W,2013-10-14,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,5
DPSRT0032AF,W,2013-10-21,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT0032BB,W,2013-10-28,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0032C7,W,2013-11-04,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0032D3,W,2013-11-11,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT0032DF,W,2013-11-18,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0032EB,W,2013-11-25,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT0032F7,W,2013-12-02,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT003303,W,2013-12-09,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00330F,W,2013-12-16,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT00331B,W,2013-12-23,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT003327,W,2013-12-30,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT003333,W,2014-01-06,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00333F,W,2014-01-13,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00334B,W,2014-01-20,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT003357,W,2014-01-27,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT003363,W,2014-02-03,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00336F,W,2014-02-10,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00337B,W,2014-02-17,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT003387,W,2014-02-24,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT003393,W,2014-03-03,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT00339F,W,2014-03-10,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT0033AB,W,2014-03-17,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT0033B7,W,2014-03-24,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT0033C3,W,2014-03-31,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT0033CF,W,2014-04-07,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT0033DB,W,2014-04-14,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT0033E7,W,2014-04-21,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT0033F3,W,2014-04-28,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0033FF,W,2014-05-05,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00340B,W,2014-05-12,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT003417,W,2014-05-19,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT003423,W,2014-05-26,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT00342F,W,2014-06-02,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00343B,W,2014-06-09,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT003447,W,2014-06-16,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT003453,W,2014-06-23,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00345F,W,2014-06-30,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT00346B,W,2014-07-07,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT003477,W,2014-07-14,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT003483,W,2014-07-21,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00348F,W,2014-07-28,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00349B,W,2014-08-04,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0034A7,W,2014-08-11,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT0034B3,W,2014-08-18,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0034BF,W,2014-08-25,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT0034CB,W,2014-09-01,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0034D7,W,2014-09-08,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0034E3,W,2014-09-15,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0034EF,W,2014-09-22,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT0034FB,W,2014-09-29,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT003507,W,2014-10-06,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT003513,W,2014-10-13,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00351F,W,2014-10-20,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT00352B,W,2014-10-27,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT003537,W,2014-11-03,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT003543,W,2014-11-10,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT00354F,W,2014-11-17,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00355B,W,2014-11-24,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT003567,W,2014-12-01,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT003573,W,2014-12-08,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00357F,W,2014-12-15,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT00358B,W,2014-12-22,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT003597,W,2014-12-29,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT0035A3,W,2015-01-05,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT0035AF,W,2015-01-12,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT0035BB,W,2015-01-19,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT0035C7,W,2015-01-26,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT0035D3,W,2015-02-02,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0035DF,W,2015-02-09,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT0035EB,W,2015-02-16,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0035F7,W,2015-02-23,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT003603,W,2015-03-02,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT00360F,W,2015-03-09,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00361B,W,2015-03-16,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT003627,W,2015-03-23,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT003633,W,2015-03-30,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,4
DPSRT00363F,W,2015-04-06,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00364B,W,2015-04-13,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT003657,W,2015-04-20,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT003663,W,2015-04-27,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00366F,W,2015-05-04,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00367B,W,2015-05-11,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT003687,W,2015-05-18,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT003693,W,2015-05-25,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT00369F,W,2015-06-01,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT0036AB,W,2015-06-08,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT0036B7,W,2015-06-15,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT0036C3,W,2015-06-22,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0036CF,W,2015-06-29,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,4
DPSRT0036DB,W,2015-07-06,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,0
DPSRT0036E7,W,2015-07-13,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT0036F3,W,2015-07-20,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT0036FF,W,2015-07-27,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,2
DPSRT00370B,W,2015-08-03,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT003717,W,2015-08-10,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,4
DPSRT003723,W,2015-08-17,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT00372F,W,2015-08-24,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT00373B,W,2015-08-31,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT003747,W,2015-09-07,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT003753,W,2015-09-14,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT00375F,W,2015-09-21,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT00376B,W,2015-09-28,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT003777,W,2015-10-05,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT003783,W,2015-10-12,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,3
DPSRT00378F,W,2015-10-19,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
DPSRT00379B,W,2015-10-26,PIDSR-DOH,City-weekly_2008-2022,PH063022000,B15,HEPATITIS A,1
