uuid,adm4_pcode,date,freq,brgy_healthcenter_pop_reached_5min,brgy_healthcenter_pop_reached_15min,brgy_healthcenter_pop_reached_30min,brgy_healthcenter_pop_reached_pct_5min,brgy_healthcenter_pop_reached_pct_15min,brgy_healthcenter_pop_reached_pct_30min,hospital_pop_reached_5min,hospital_pop_reached_15min,hospital_pop_reached_30min,hospital_pop_reached_pct_5min,hospital_pop_reached_pct_15min,hospital_pop_reached_pct_30min,rhu_pop_reached_5min,rhu_pop_reached_15min,rhu_pop_reached_30min,rhu_pop_reached_pct_5min,rhu_pop_reached_pct_15min,rhu_pop_reached_pct_30min
MBISO0000DF,PH063022115,2022-01-01,S,2450.96,3817.56,3817.56,60.88,94.83,94.83,648.34,3817.56,3817.56,16.11,94.83,94.83,1022.96,3817.56,3817.56,25.41,94.83,94.83
MBISO0000E0,PH063022116,2022-01-01,S,685.31,685.31,685.31,100.0,100.0,100.0,384.38,685.31,685.31,56.09,100.0,100.0,685.31,685.31,685.31,100.0,100.0,100.0
MBISO0000E1,PH063022117,2022-01-01,S,2358.28,2374.21,2374.21,99.33,100.0,100.0,1173.42,2374.21,2374.21,49.42,100.0,100.0,1895.87,2374.21,2374.21,79.85,100.0,100.0
MBISO0000E2,PH063022118,2022-01-01,S,1997.38,1997.38,1997.38,100.0,100.0,100.0,1997.38,1997.38,1997.38,100.0,100.0,100.0,1997.38,1997.38,1997.38,100.0,100.0,100.0
MBISO0000E3,PH063022119,2022-01-01,S,1007.51,1007.51,1007.51,100.0,100.0,100.0,1007.51,1007.51,1007.51,100.0,100.0,100.0,1007.51,1007.51,1007.51,100.0,100.0,100.0
MBISO0000E4,PH063022120,2022-01-01,S,2995.34,2995.34,2995.34,99.95,99.95,99.95,2995.34,2995.34,2995.34,99.95,99.95,99.95,2995.34,2995.34,2995.34,99.95,99.95,99.95
MBISO0000E5,PH063022121,2022-01-01,S,6063.24,6063.24,6063.24,100.0,100.0,100.0,0.0,6063.24,6063.24,0.0,100.0,100.0,0.0,6063.24,6063.24,0.0,100.0,100.0
MBISO0000E6,PH063022122,2022-01-01,S,614.1,614.1,614.1,95.83,95.83,95.83,0.0,614.1,614.1,0.0,95.83,95.83,614.1,614.1,614.1,95.83,95.83,95.83
MBISO0000E7,PH063022123,2022-01-01,S,600.05,600.05,600.05,100.0,100.0,100.0,600.05,600.05,600.05,100.0,100.0,100.0,0.0,600.05,600.05,0.0,100.0,100.0
MBISO0000E8,PH063022124,2022-01-01,S,5934.46,5934.46,5934.46,100.0,100.0,100.0,5934.46,5934.46,5934.46,100.0,100.0,100.0,0.0,5934.46,5934.46,0.0,100.0,100.0
MBISO0000E9,PH063022125,2022-01-01,S,106.77,106.77,106.77,4.14,4.14,4.14,106.77,106.77,106.77,4.14,4.14,4.14,0.0,106.77,106.77,0.0,4.14,4.14
MBISO0000EA,PH063022126,2022-01-01,S,37.17,37.17,37.17,0.85,0.85,0.85,37.17,37.17,37.17,0.85,0.85,0.85,0.0,37.17,37.17,0.0,0.85,0.85
MBISO0000EB,PH063022127,2022-01-01,S,999.07,999.07,999.07,100.0,100.0,100.0,999.07,999.07,999.07,100.0,100.0,100.0,963.72,999.07,999.07,96.46,100.0,100.0
MBISO0000EC,PH063022128,2022-01-01,S,1483.0,1483.0,1483.0,100.0,100.0,100.0,1483.0,1483.0,1483.0,100.0,100.0,100.0,1399.02,1483.0,1483.0,94.34,100.0,100.0
MBISO0000ED,PH063022129,2022-01-01,S,1123.18,1123.18,1123.18,100.0,100.0,100.0,1123.18,1123.18,1123.18,100.0,100.0,100.0,1123.18,1123.18,1123.18,100.0,100.0,100.0
MBISO0000EE,PH063022131,2022-01-01,S,433.98,433.98,433.98,78.11,78.11,78.11,433.98,433.98,433.98,78.11,78.11,78.11,433.98,433.98,433.98,78.11,78.11,78.11
MBISO0000EF,PH063022132,2022-01-01,S,1942.53,1942.53,1942.53,94.06,94.06,94.06,870.56,1942.53,1942.53,42.16,94.06,94.06,1942.53,1942.53,1942.53,94.06,94.06,94.06
MBISO0000F0,PH063022133,2022-01-01,S,785.64,785.64,785.64,100.0,100.0,100.0,785.64,785.64,785.64,100.0,100.0,100.0,785.64,785.64,785.64,100.0,100.0,100.0
MBISO0000F1,PH063022134,2022-01-01,S,2073.7,2073.7,2073.7,100.0,100.0,100.0,0.0,2073.7,2073.7,0.0,100.0,100.0,2073.7,2073.7,2073.7,100.0,100.0,100.0
MBISO0000F2,PH063022135,2022-01-01,S,3951.27,3951.27,3951.27,100.0,100.0,100.0,0.0,3951.27,3951.27,0.0,100.0,100.0,0.0,3951.27,3951.27,0.0,100.0,100.0
MBISO0000F3,PH063022136,2022-01-01,S,76.4,76.4,76.4,8.97,8.97,8.97,45.87,76.4,76.4,5.39,8.97,8.97,0.0,76.4,76.4,0.0,8.97,8.97
MBISO0000F4,PH063022137,2022-01-01,S,2932.85,2932.85,2932.85,100.0,100.0,100.0,2932.85,2932.85,2932.85,100.0,100.0,100.0,0.0,2932.85,2932.85,0.0,100.0,100.0
MBISO0000F5,PH063022138,2022-01-01,S,1110.92,1110.92,1110.92,100.0,100.0,100.0,1110.92,1110.92,1110.92,100.0,100.0,100.0,1110.92,1110.92,1110.92,100.0,100.0,100.0
MBISO0000F6,PH063022139,2022-01-01,S,351.51,351.51,351.51,60.66,60.66,60.66,351.51,351.51,351.51,60.66,60.66,60.66,351.51,351.51,351.51,60.66,60.66,60.66
MBISO0000F7,PH063022140,2022-01-01,S,583.19,583.19,583.19,100.0,100.0,100.0,583.19,583.19,583.19,100.0,100.0,100.0,0.0,583.19,583.19,0.0,100.0,100.0
MBISO0000F8,PH063022144,2022-01-01,S,2669.04,2709.24,2709.24,98.52,100.0,100.0,0.0,2709.24,2709.24,0.0,100.0,100.0,414.07,2709.24,2709.24,15.28,100.0,100.0
MBISO0000F9,PH063022146,2022-01-01,S,392.34,392.34,392.34,75.15,75.15,75.15,392.34,392.34,392.34,75.15,75.15,75.15,0.0,392.34,392.34,0.0,75.15,75.15
