uuid,adm4_pcode,date,freq,pct_area_flood_hazard_100yr_low,pct_area_flood_hazard_100yr_med,pct_area_flood_hazard_100yr_high,pct_area_flood_hazard_25yr_low,pct_area_flood_hazard_25yr_med,pct_area_flood_hazard_25yr_high,pct_area_flood_hazard_5yr_low,pct_area_flood_hazard_5yr_med,pct_area_flood_hazard_5yr_high,pct_area_landslide_hazard_low,pct_area_landslide_hazard_med,pct_area_landslide_hazard_high
PNHZD00013D,PH063022171,2015-01-01,S,11.9093,69.1427,0.2262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00013E,PH063022094,2015-01-01,S,18.6451,32.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00013F,PH063022021,2015-01-01,S,14.2915,29.7695,1.5219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000140,PH063022005,2015-01-01,S,21.7056,6.2314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000141,PH063022156,2015-01-01,S,16.6427,20.6568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000142,PH063022201,2015-01-01,S,23.9727,22.1765,1.9956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000143,PH063022022,2015-01-01,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000144,PH063022025,2015-01-01,S,35.2398,17.8684,0.4232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000145,PH063022001,2015-01-01,S,25.8786,54.5935,4.1819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000146,PH063022126,2015-01-01,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000147,PH063022137,2015-01-01,S,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000148,PH063022118,2015-01-01,S,2.0579,2.2844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000149,PH063022015,2015-01-01,S,36.1188,7.2964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00014A,PH063022152,2015-01-01,S,20.2246,7.4634,3.4572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00014B,PH063022040,2015-01-01,S,28.9894,39.6262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00014C,PH063022020,2015-01-01,S,2.9499,26.1342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00014D,PH063022109,2015-01-01,S,18.088,79.6367,2.2753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00014E,PH063022110,2015-01-01,S,8.3065,11.1651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00014F,PH063022149,2015-01-01,S,40.43,0.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000150,PH063022052,2015-01-01,S,30.5713,18.9763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000151,PH063022138,2015-01-01,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000152,PH063022176,2015-01-01,S,7.3194,25.3188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000153,PH063022179,2015-01-01,S,44.618,5.4978,0.0309,14.9785,2.1822,0.009,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000154,PH063022054,2015-01-01,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000155,PH063022092,2015-01-01,S,2.1888,17.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000156,PH063022132,2015-01-01,S,3.7122,35.7243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000157,PH063022085,2015-01-01,S,2.1888,16.8737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000158,PH063022160,2015-01-01,S,11.6122,21.7429,5.6348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000159,PH063022134,2015-01-01,S,26.5683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
