uuid,freq,date,source_name,source_filename,adm3_pcode,disease_icd10_code,disease_common_name,death_total
DPSAT001920,W,2006-03-13,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,1
DPSAT001921,W,2006-03-13,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,1
DPSAT001922,W,2006-03-13,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,4
DPSAT001923,W,2006-03-13,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,8
DPSAT001924,W,2006-03-20,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,4
DPSAT001925,W,2006-03-20,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,4
DPSAT001926,W,2006-03-20,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,5
DPSAT001927,W,2006-03-27,PSA,City-weekly_2006_deaths,PH063022000,A01,TYPHOID FEVER,1
DPSAT001928,W,2006-03-27,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,4
DPSAT001929,W,2006-03-27,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,2
DPSAT00192A,W,2006-03-27,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,11
DPSAT00192B,W,2006-04-03,PSA,City-weekly_2006_deaths,PH063022000,A82,RABIES,1
DPSAT00192C,W,2006-04-03,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,3
DPSAT00192D,W,2006-04-03,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,4
DPSAT00192E,W,2006-04-03,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,6
DPSAT00192F,W,2006-04-10,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,4
DPSAT001930,W,2006-04-10,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,3
DPSAT001931,W,2006-04-10,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,7
DPSAT001932,W,2006-04-17,PSA,City-weekly_2006_deaths,PH063022000,A01,TYPHOID FEVER,1
DPSAT001933,W,2006-04-17,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,1
DPSAT001934,W,2006-04-17,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,3
DPSAT001935,W,2006-04-17,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,1
DPSAT001936,W,2006-04-17,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,8
DPSAT001937,W,2006-04-24,PSA,City-weekly_2006_deaths,PH063022000,A82,RABIES,1
DPSAT001938,W,2006-04-24,PSA,City-weekly_2006_deaths,PH063022000,A90-A91,DENGUE FEVER,0
DPSAT001939,W,2006-04-24,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,3
DPSAT00193A,W,2006-04-24,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,9
DPSAT00193B,W,2006-04-24,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,4
DPSAT00193C,W,2006-05-01,PSA,City-weekly_2006_deaths,PH063022000,A00,CHOLERA,0
DPSAT00193D,W,2006-05-01,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,1
DPSAT00193E,W,2006-05-01,PSA,City-weekly_2006_deaths,PH063022000,A90-A91,DENGUE FEVER,0
DPSAT00193F,W,2006-05-01,PSA,City-weekly_2006_deaths,PH063022000,B15,HEPATITIS A,0
DPSAT001940,W,2006-05-01,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,4
DPSAT001941,W,2006-05-01,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,3
DPSAT001942,W,2006-05-01,PSA,City-weekly_2006_deaths,PH063022000,I20-I25,ANGINA,0
DPSAT001943,W,2006-05-01,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,7
DPSAT001944,W,2006-05-01,PSA,City-weekly_2006_deaths,PH063022000,T67,HEAT STROKE,0
DPSAT001945,W,2006-05-08,PSA,City-weekly_2006_deaths,PH063022000,A00,CHOLERA,0
DPSAT001946,W,2006-05-08,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,0
DPSAT001947,W,2006-05-08,PSA,City-weekly_2006_deaths,PH063022000,A90-A91,DENGUE FEVER,0
DPSAT001948,W,2006-05-08,PSA,City-weekly_2006_deaths,PH063022000,B15,HEPATITIS A,0
DPSAT001949,W,2006-05-08,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,8
DPSAT00194A,W,2006-05-08,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,9
DPSAT00194B,W,2006-05-08,PSA,City-weekly_2006_deaths,PH063022000,I20-I25,ANGINA,0
DPSAT00194C,W,2006-05-08,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,11
DPSAT00194D,W,2006-05-08,PSA,City-weekly_2006_deaths,PH063022000,T67,HEAT STROKE,0
DPSAT00194E,W,2006-05-15,PSA,City-weekly_2006_deaths,PH063022000,A01,TYPHOID FEVER,1
DPSAT00194F,W,2006-05-15,PSA,City-weekly_2006_deaths,PH063022000,A27,LEPTOSPIROSIS,1
DPSAT001950,W,2006-05-15,PSA,City-weekly_2006_deaths,PH063022000,A82,RABIES,1
DPSAT001951,W,2006-05-15,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,5
DPSAT001952,W,2006-05-15,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,4
DPSAT001953,W,2006-05-22,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,3
DPSAT001954,W,2006-05-22,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,3
DPSAT001955,W,2006-05-22,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,8
DPSAT001956,W,2006-05-29,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,2
DPSAT001957,W,2006-05-29,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,5
DPSAT001958,W,2006-05-29,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,9
DPSAT001959,W,2006-06-05,PSA,City-weekly_2006_deaths,PH063022000,A00,CHOLERA,0
DPSAT00195A,W,2006-06-05,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,0
DPSAT00195B,W,2006-06-05,PSA,City-weekly_2006_deaths,PH063022000,A90-A91,DENGUE FEVER,0
DPSAT00195C,W,2006-06-05,PSA,City-weekly_2006_deaths,PH063022000,B15,HEPATITIS A,0
DPSAT00195D,W,2006-06-05,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,1
DPSAT00195E,W,2006-06-05,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,3
DPSAT00195F,W,2006-06-05,PSA,City-weekly_2006_deaths,PH063022000,I20-I25,ANGINA,0
DPSAT001960,W,2006-06-05,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,7
DPSAT001961,W,2006-06-05,PSA,City-weekly_2006_deaths,PH063022000,T67,HEAT STROKE,0
DPSAT001962,W,2006-06-12,PSA,City-weekly_2006_deaths,PH063022000,A00,CHOLERA,0
DPSAT001963,W,2006-06-12,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,2
DPSAT001964,W,2006-06-12,PSA,City-weekly_2006_deaths,PH063022000,A90-A91,DENGUE FEVER,1
DPSAT001965,W,2006-06-12,PSA,City-weekly_2006_deaths,PH063022000,B15,HEPATITIS A,0
DPSAT001966,W,2006-06-12,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,6
DPSAT001967,W,2006-06-12,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,6
DPSAT001968,W,2006-06-12,PSA,City-weekly_2006_deaths,PH063022000,I20-I25,ANGINA,0
DPSAT001969,W,2006-06-12,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,6
DPSAT00196A,W,2006-06-12,PSA,City-weekly_2006_deaths,PH063022000,T67,HEAT STROKE,0
DPSAT00196B,W,2006-06-19,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,1
DPSAT00196C,W,2006-06-19,PSA,City-weekly_2006_deaths,PH063022000,A90-A91,DENGUE FEVER,2
DPSAT00196D,W,2006-06-19,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,1
DPSAT00196E,W,2006-06-19,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,2
DPSAT00196F,W,2006-06-19,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,5
